,label
68924,29
69050,23
69076,26
69133,6
69967,7
71035,15
71058,27
71085,13
71238,23
71277,7
71431,27
72100,7
72422,18
72423,18
72648,2
72840,15
73200,27
73223,10
73275,12
73575,23
73835,29
73836,29
74863,27
74864,26
74865,26
74866,27
75164,15
75209,27
75210,27
75211,27
75212,27
75223,28
77095,17
78059,4
78158,23
78159,23
78326,17
78364,31
78513,7
78514,26
78819,9
78836,5
79098,26
79426,17
79427,17
79867,12
80398,2
80593,17
81249,23
8222,23
8237,4
8262,29
8280,17
82864,2
83379,13
83380,30
83652,26
83826,31
83985,30
84090,13
84092,13
84240,17
84449,22
85171,16
853,23
85713,14
85714,4
86184,26
86458,4
87408,9
87409,30
87596,4
88334,26
89535,13
90147,26
90148,31
90149,31
9082,27
90849,11
9105,6
91113,26
91810,0
92200,9
92250,26
92395,16
92571,26
92708,7
92842,23
93086,29
93087,29
93259,27
93486,23
94029,7
94030,7
94031,4
94565,6
94893,16
94894,2
94895,2
94896,2
94897,2
95379,31
95407,26
95606,12
95607,12
95649,5
95972,4
95980,4
95981,4
96224,9
96485,16
96509,31
97658,26
97659,26
97660,26
98140,12
98263,0
98265,0
99161,22
9923,2
99395,7
99396,7
99397,7
99398,7
99399,7
99400,0
99401,0
99402,7
99403,0
99503,23
9987,17
