,cif_id,avg_connect_v
344,172043,3.50570011138916
345,172044,3.031399965286255
347,172216,4.986125946044922
352,173175,2.8634631633758545
353,173176,2.5269999504089355
354,173180,2.306999921798706
355,173181,2.539599895477295
356,173182,2.5357000827789307
357,173183,2.5318000316619877
358,173184,2.5276999473571777
359,173185,2.5237998962402344
360,173186,2.51990008354187
361,173187,2.6589999198913574
362,173188,2.5118999481201167
363,173189,2.5078999996185303
364,173190,2.503999948501587
365,173191,2.500099897384644
366,173193,2.3062000274658203
367,173194,2.534899950027466
368,173195,2.531399965286255
369,173196,2.527899980545044
370,173197,2.524399995803833
371,173198,2.5209999084472656
372,173199,2.5172998905181885
373,173200,2.5139000415802
374,173201,2.5102999210357666
375,173202,2.506799936294556
376,173203,2.5034000873565674
377,173204,2.4997999668121342
378,173206,2.3064000606536865
390,174202,2.605381488800049
392,174612,2.3079583644866943
393,174613,2.310287952423096
394,174614,2.277475357055664
395,174615,2.259113073348999
396,174616,2.244589567184448
397,174617,2.223220109939575
399,180011,4.705711364746094
400,180012,4.747637271881104
403,18004,3.645366668701172
404,18012,2.8482260704040527
407,180289,4.299943923950194
408,180318,3.78146243095398
410,180469,2.920912742614746
411,180470,2.908612966537476
412,180507,4.3169779777526855
413,180730,4.881453514099121
414,18096,2.679205656051636
415,181261,3.8511364459991455
416,18152,4.451873779296875
417,18173,4.2474894523620605
418,182024,2.3640000820159908
419,182026,1.1955000162124634
420,182027,1.201799988746643
421,182028,1.2093000411987305
422,182034,2.638978719711304
423,182035,3.9762566089630127
424,182036,2.1820206642150883
432,182959,4.030508518218993
434,182961,4.268524646759033
435,182962,2.9916274547576904
436,182963,4.345106601715088
437,182964,3.0009610652923584
439,18313,3.5942494869232178
441,183607,2.574474811553955
453,183684,2.6199467182159424
454,183685,2.6251201629638667
456,183930,4.741840839385986
458,184230,2.4877285957336426
459,184283,2.9357690811157227
460,184284,2.9350774288177486
461,184285,2.935275793075561
462,184286,2.929013967514038
463,184287,2.932466745376587
464,184288,2.9280202388763428
465,184289,2.9305200576782227
466,184290,2.9298253059387207
467,184291,2.928264141082764
468,184292,2.9275994300842285
473,185539,2.521778345108032
474,185540,2.485434532165528
475,185587,3.6179077625274663
476,185703,4.8495192527771
477,185704,4.848184585571289
478,185705,4.8521385192871085
480,186453,4.54985237121582
484,186848,4.183059215545653
485,186849,4.418007373809815
486,186850,4.152829170227052
493,188009,4.676135063171387
494,188423,3.6147899627685542
495,188427,3.6179077625274663
496,188428,3.640424489974976
497,188493,3.118000030517578
501,188886,3.564746379852295
502,188887,3.5912549495697017
506,190006,2.807370901107788
507,19023,3.56876802444458
508,19024,3.635236024856568
513,190773,4.74654483795166
515,191135,2.4319355487823486
516,191136,2.3496999740600586
518,191311,4.3161163330078125
519,191528,2.628955602645874
520,191542,2.460836410522461
521,191891,2.0066676139831543
525,192544,3.9369125366210938
526,193032,3.3169646263122563
527,193033,3.234606504440308
528,193034,3.235304117202759
529,193035,3.25706148147583
530,193036,3.229414224624634
531,193037,3.26086974143982
532,193038,3.257686138153076
533,193039,3.2645809650421143
534,193040,3.315990447998047
535,193041,3.3734381198883057
567,193441,4.300798416137694
568,193755,3.0549194812774663
569,193768,4.110799789428712
570,193769,4.359751224517821
572,193803,2.915196418762207
573,193838,2.906937837600708
574,193947,3.7185273170471187
581,195182,2.454431533813477
582,195615,4.920013427734375
589,196425,2.476646900177002
590,196467,2.822882413864136
591,196468,2.963200092315674
592,196726,4.200214385986328
593,196727,4.226377010345459
594,196807,2.585085868835449
595,196932,2.861000061035156
596,197052,4.526897430419922
597,197372,4.060914039611816
600,198097,2.8469533920288086
601,20012,2.5885999202728267
604,20031,3.200400114059448
605,20032,3.751627206802368
607,200369,4.334000110626222
610,200534,4.693403720855713
616,200874,2.868025064468384
617,200891,3.082961082458496
620,200980,3.947352886199951
621,200981,3.961212158203125
622,200984,4.1621718406677255
623,201079,3.838647365570069
624,201117,3.5350000858306885
629,201623,3.497499942779541
637,20208,3.1573612689971924
638,202115,4.809250354766847
639,202116,4.017200469970703
642,202326,2.9060153961181636
645,202538,4.409282684326172
646,202539,4.3854150772094735
650,202631,2.7024996280670166
651,202632,2.595099925994873
652,202641,4.699633121490479
654,202648,4.041811466217041
656,202743,3.65786337852478
657,202862,3.950400114059448
659,202897,4.3043622970581055
661,203008,4.595977306365967
663,203030,2.628944635391236
664,203031,2.812851428985596
665,203032,4.257761478424071
666,203033,4.578524112701416
667,203063,4.434674739837647
669,203085,3.1026957035064697
672,20434,4.052906513214111
679,21032,4.3653645515441895
680,21053,3.0579934120178223
685,22014,3.7023999691009517
686,22015,3.6909999847412114
687,22402,2.3050000667572017
688,230105,4.316500186920166
691,23017,3.1177446842193604
692,23041,2.677767515182495
693,23042,2.677767515182495
694,2319,2.9989299774169917
695,23406,3.555277109146118
696,23407,3.644008874893189
701,23554,3.0869452953338623
702,236145,3.6147899627685542
706,23634,2.413837432861328
710,236888,4.758757591247559
711,236889,4.737496852874756
712,236957,2.710858106613159
714,23723,3.3080685138702397
715,23746,2.847518920898437
716,23747,2.852855682373047
717,23748,2.6386919021606445
718,237635,3.3770999908447266
720,237729,4.85465669631958
721,237944,3.0381772518157963
722,237945,3.0579991340637207
723,237946,3.016107082366944
724,237947,3.0401122570037837
726,23815,3.090849637985229
728,238600,2.40939998626709
729,238601,2.6173999309539795
730,238602,1.9684699773788448
731,238603,2.895575761795044
732,238685,2.482597827911377
733,238686,2.6811599731445312
734,238687,2.6372625827789307
735,238688,2.480551242828369
736,238689,2.4685912132263184
737,238690,2.5170762538909908
738,238691,2.4579625129699707
739,238692,2.445898056030273
740,238693,2.4605705738067627
741,23876,4.309389591217041
742,239000,4.1528096199035645
746,239278,3.304047107696533
747,239279,3.306050062179565
748,239280,3.304261445999145
754,239792,1.0841590166091921
756,239794,4.770135879516602
758,239962,3.409027099609375
765,2403,2.92808198928833
766,24051,4.687283515930176
768,240700,4.709901809692383
769,240704,1.875
770,240749,2.683293104171753
771,240861,2.751431703567505
773,241234,3.8086736202239986
774,241300,3.1662919521331787
775,241301,3.173237562179565
776,241421,4.316972732543944
778,24143,2.4363999366760254
779,241439,4.284800052642821
780,24146,3.0273609161376958
781,241475,2.2837321758270264
785,241866,4.722799777984619
788,242170,3.5095109939575195
798,243929,4.208821296691895
800,243972,4.734105110168457
802,244236,2.9439001083374023
811,245280,3.6665000915527344
812,245281,3.654799938201904
813,245282,3.728399991989136
814,245283,3.526599884033203
815,245284,3.5550000667572017
816,245285,3.5439999103546143
817,245286,3.538599967956543
818,245287,3.530900001525879
819,245288,3.5239999294281006
820,245289,3.504499912261963
821,245290,3.621999979019165
823,245527,4.3985371589660645
824,245641,2.4629273414611816
828,245934,2.296284437179565
829,245935,2.2371482849121094
830,24596,2.7172272205352783
831,24600,2.7208926677703857
832,246302,3.2574925422668457
834,246816,2.7054946422576904
835,246817,2.6237599849700928
836,246859,3.5903224945068364
837,247255,2.595680952072144
838,247256,2.5901763439178467
839,247257,2.6502695083618164
840,247258,2.6398026943206787
843,247979,4.713661670684815
844,248115,3.92953372001648
847,248309,4.763722896575928
848,248310,4.771612167358398
849,248311,4.769227981567383
850,248343,3.68813681602478
851,248414,3.1572656631469727
852,248415,3.24316930770874
854,24896,1.8243999481201167
855,24897,1.8215999603271484
857,249872,3.9368932247161865
858,249873,3.998379468917847
859,250003,4.200358867645264
860,250066,2.3238768577575684
862,250297,3.306999921798706
863,250410,3.011950254440308
864,250460,3.7079150676727295
866,250748,4.756532192230225
867,250749,4.808449745178223
868,250800,4.320139408111571
869,250801,4.291430950164795
873,251074,2.872648000717163
875,2512,3.2901918888092037
885,251594,3.530400037765503
889,252036,3.564967393875122
890,252037,3.6210458278656006
891,252038,3.730440855026245
892,252039,3.533934593200684
893,252040,3.638480424880981
894,252041,3.6329882144927983
897,252215,3.1356565952301025
898,252219,2.941988468170166
899,252226,3.2831592559814453
900,252308,2.9138734340667725
901,252578,3.8695666790008554
905,253007,4.737947940826416
907,253056,2.617288589477539
909,25308,3.0515387058258057
910,25310,3.3914999961853027
920,253338,4.933815956115723
921,253339,3.971306324005127
923,25349,3.929392337799072
930,253895,2.9537994861602783
931,253896,2.9361045360565186
938,254044,3.8703999519348153
939,254107,4.972158908843994
942,254406,4.918258190155028
945,254737,3.0530931949615483
946,254974,4.3180508613586435
948,25515,3.0377306938171387
949,25530,2.636056423187256
950,255464,4.508229732513428
951,255465,3.2142317295074463
952,255466,3.2463181018829346
953,255467,3.2818999290466313
954,255468,3.4378347396850586
955,25565,2.2483081817626958
956,25566,2.286959171295166
957,255747,4.294700145721436
958,255748,4.289500236511231
959,255749,4.285999774932861
960,255750,4.298500061035156
963,25582,2.358999967575073
964,25583,2.424999952316284
965,25584,2.403599977493286
966,25585,2.338000059127808
967,25586,2.380000114440918
968,25587,2.374000072479248
969,2559,4.908989906311035
970,25590,4.148919582366943
972,256029,3.6438024044036874
974,256228,4.756080627441406
975,256229,4.77323055267334
977,257005,4.228614330291748
978,257006,4.201674938201903
979,257007,4.20650053024292
980,257008,4.211374759674071
981,257009,4.2114548683166495
982,257010,4.2048730850219735
983,257011,4.2125205993652335
984,257012,4.202560901641847
985,257013,4.22153902053833
986,257014,3.0703771114349365
987,257015,3.0756478309631348
988,257016,4.21610164642334
989,257017,3.0779409408569336
990,25705,3.02972412109375
997,257190,3.377387046813965
998,257309,3.61444354057312
999,257372,2.307699918746948
1006,257439,3.0392277240753174
1007,257440,3.09004545211792
1008,257464,4.060956001281738
1009,25752,3.093337059020996
1010,257550,2.9404327869415283
1011,25759,1.8734227418899536
1012,257739,4.91096305847168
1013,257740,4.94373083114624
1015,257819,3.1374244689941406
1016,257820,3.148578643798828
1017,257946,3.6492736339569087
1018,257947,3.5359699726104736
1019,257948,3.70662522315979
1020,25816,3.196008682250977
1021,258187,2.705885410308838
1023,258955,2.976336002349853
1024,258978,4.185051441192627
1025,258979,4.151432991027832
1027,259172,3.4413599967956543
1028,259200,2.770869016647339
1029,259201,2.927422046661377
1030,259202,3.0892081260681152
1031,259203,3.2310538291931152
1032,259204,3.325947523117065
1033,259205,2.7606866359710693
1034,259206,2.8144264221191406
1035,259207,2.918653964996338
1036,259208,3.0684192180633545
1037,259209,3.1678383350372314
1038,259210,3.2191743850708012
1039,259211,3.262873649597168
1040,259212,3.313007354736328
1041,259221,4.2185401916503915
