,cif_id,survive_h1
0,153806,0.125
1,155020,0.125
4,96485,0.25
8,100020,0.16666666666666666
10,100167,0.05
11,100169,0.1
12,100324,0.125
13,100402,0.125
14,100403,0.125
15,100465,0.125
19,10062,0.16666666666666666
21,10251,0.3625
23,1037,0.2
28,106771,0.25
29,106948,0.1875
30,106949,0.1875
31,107304,0.25
35,109087,0.16666666666666666
36,109091,0.1
39,1125,0.08928571428571429
40,1126,0.08928571428571429
41,1127,0.08928571428571429
42,1180,0.20833333333333331
45,130018,0.4375
46,1384,0.25
47,1411,0.4375
50,14360,0.3611111111111111
51,14364,0.16666666666666666
54,150212,0.359375
55,150451,0.1111111111111111
56,150452,0.1111111111111111
57,150453,0.1111111111111111
58,150454,0.1111111111111111
59,150455,0.1111111111111111
60,150456,0.1111111111111111
61,150457,0.1111111111111111
63,15104,0.08333333333333333
64,15112,0.2777777777777778
65,151356,0.05555555555555555
66,15150,0.0625
70,153218,0.07142857142857142
71,154089,0.25
73,155126,0.4583333333333333
74,155577,0.125
75,155633,0.3333333333333333
76,155634,0.3333333333333333
77,155912,0.25
79,15631,0.14285714285714285
80,15642,0.25
97,157654,0.21428571428571427
102,158372,0.10833333333333334
103,158373,0.10833333333333334
106,161342,0.10833333333333334
107,161343,0.10833333333333334
108,161389,0.10833333333333334
110,161763,0.25
111,16219,0.425
113,162215,0.0625
114,16229,0.2
118,163176,0.4375
119,163177,0.4375
120,163178,0.4375
121,163179,0.4375
122,163180,0.4375
123,163181,0.4375
124,163182,0.4375
125,163297,0.04166666666666666
126,163298,0.16666666666666666
127,163299,0.04166666666666666
128,163300,0.04166666666666666
129,163301,0.04166666666666666
130,163302,0.04166666666666666
131,163303,0.04166666666666666
132,163304,0.04166666666666666
133,163305,0.16666666666666666
137,163914,0.375
139,165469,0.1111111111111111
140,165470,0.1111111111111111
141,165471,0.1111111111111111
142,165472,0.1111111111111111
143,165473,0.1111111111111111
144,165474,0.1111111111111111
145,165475,0.1111111111111111
146,165476,0.1111111111111111
147,165477,0.1111111111111111
148,165478,0.1111111111111111
149,165479,0.1111111111111111
151,165481,0.1111111111111111
152,165482,0.1111111111111111
